author,href,title
Лисенкова Анастасия Алексеевна,https://cyberleninka.ru/article/n/novye-media-ot-web-1-0-k-semanticheskoy-pautine-web-4-0,Новые медиа: от Web 1. 0 к семантической паутине Web 4. 0
Матвеева А.В.,https://cyberleninka.ru/article/n/web-razrabotki,WEB -разработки
Šimić Goran,https://cyberleninka.ru/article/n/web-u-ionica,Web učionica
Итинсон Кристина Сергеевна,https://cyberleninka.ru/article/n/web-1-0-web-2-0-web-3-0-etapy-razvitiya-veb-tehnologiy-i-ih-vliyanie-na-obrazovanie,"WEB 1.0, WEB 2.0, WEB 3.0: ЭТАПЫ РАЗВИТИЯ ВЕБ-ТЕХНОЛОГИЙ И ИХ ВЛИЯНИЕ НА ОБРАЗОВАНИЕ"
Исаев Александр Александрович,https://cyberleninka.ru/article/n/rodoslovnaya-web-androgina,Родословная Web -Андрогина
Gorozhanov A. I.,https://cyberleninka.ru/article/n/web-1-0-and-web-2-0-tools-in-foreign-language-acquisition-process,Web 1. 0 and Web 2. 0 tools in foreign language acquisition process
Suvorov V.,https://cyberleninka.ru/article/n/dynamic-web-components-and-web-environment-behavior-analysis,Dynamic web -components and web environment behavior analysis
Карабач А.Е.,https://cyberleninka.ru/article/n/web-protege-web-sreda-razrabotki-dlya-ontologiy-owl-2,Web -protege: Web -среда разработки для онтологий Owl 2
Винницкий Юрий Анатольевич,https://cyberleninka.ru/article/n/razmeschaem-web-stranichku,Размещаем Web -страничку
Золотарёв С. П.,https://cyberleninka.ru/article/n/razvitie-web-tehnologiy,Развитие web - технологий
Давыдова Мария Андреевна,https://cyberleninka.ru/article/n/web-tehnologii-v-biznese,WEB -ТЕХНОЛОГИИ В БИЗНЕСЕ
"Володченко Виктория Сергеевна, Ланцова Дарья Сергеевна, Миронова Татьяна Алексеевна, Сапунова Екатерина Витальевна, Бышок Ксения Александровна",https://cyberleninka.ru/article/n/razrabotka-web-sayta,РАЗРАБОТКА WEB -САЙТА
Мамонтов А. Н.,https://cyberleninka.ru/article/n/ispolzovanie-web-2-0-v-obrazovanii,Использование Web 2. 0 в образовании
Иванова Юлия Андреевна,https://cyberleninka.ru/article/n/ispolzovanie-web-2-0-v-obrazovanii-1,Использование Web 2. 0 в образовании
"Борисова А.Н., Долгова Т.Г.",https://cyberleninka.ru/article/n/tehnologiya-web-mining,Технология Web Mining
"Мурадова Гули Бурановна, Минич Людмила Станиславовна",https://cyberleninka.ru/article/n/osnovy-web-programmirovaniya,ОСНОВЫ WEB -ПРОГРАММИРОВАНИЯ
Бурмакин Г. С.,https://cyberleninka.ru/article/n/web-2-0-v-obrazovanii,WEB 2.0 В ОБРАЗОВАНИИ
Исопескуль О. Ю.,https://cyberleninka.ru/article/n/web-kultura-organizatsii,WEB -культура организации
Родионова Мария Николаевна,https://cyberleninka.ru/article/n/rol-virtualnyh-soobschestv-praktiki-v-upravlenii-znaniyami-s-ispolzovaniem-web-2-0-i-web-3-0,"Роль ""виртуальных сообществ практики"" в управлении знаниями с использованием Web 2. 0 и Web 3. 0"
"Новиков А. А., Стрекалов И. Э., Лопатин Д. В.",https://cyberleninka.ru/article/n/dinamicheskaya-filtratsiya-web-kontenta,Динамическая фильтрация web -контента
